label,opt,config,lr,wd,dataset,dataset_label,detector,detector_label,mean,std,n_seeds
SGD-5e-4,SGD,sgd_lr1e-1_wd5e-4_anchor,0.1,5e-4,cifar100,CIFAR-100,mahalanobis,Raw Maha,0.8700202916666667,0.0028622676168439344,3
SGD-5e-4,SGD,sgd_lr1e-1_wd5e-4_anchor,0.1,5e-4,cifar100,CIFAR-100,mahalanobis_l2,Maha-L2,0.89052144,0.0010738867157549735,3
SGD-5e-4,SGD,sgd_lr1e-1_wd5e-4_anchor,0.1,5e-4,cifar100,CIFAR-100,knn,Raw kNN,0.9060826516666666,0.0009588936093010137,3
SGD-5e-4,SGD,sgd_lr1e-1_wd5e-4_anchor,0.1,5e-4,cifar100,CIFAR-100,knn_l2,kNN-L2,0.9072576766666667,0.001042984231787966,3
SGD-2e-4,SGD,sgd_lr1e-1_wd2e-4,0.1,2e-4,cifar100,CIFAR-100,mahalanobis,Raw Maha,0.86179744,0.00266130705204703,3
SGD-2e-4,SGD,sgd_lr1e-1_wd2e-4,0.1,2e-4,cifar100,CIFAR-100,mahalanobis_l2,Maha-L2,0.8750185283333334,0.0007451897239014961,3
SGD-2e-4,SGD,sgd_lr1e-1_wd2e-4,0.1,2e-4,cifar100,CIFAR-100,knn,Raw kNN,0.9040201900000001,0.001026422520066703,3
SGD-2e-4,SGD,sgd_lr1e-1_wd2e-4,0.1,2e-4,cifar100,CIFAR-100,knn_l2,kNN-L2,0.9049705616666667,0.00041011328698092094,3
Adam,Adam,adam_lr1e-3_wd1e-4,1e-3,1e-4,cifar100,CIFAR-100,mahalanobis,Raw Maha,0.577861,0.008678290491238706,3
Adam,Adam,adam_lr1e-3_wd1e-4,1e-3,1e-4,cifar100,CIFAR-100,mahalanobis_l2,Maha-L2,0.7229652683333333,0.0057404750265251225,3
Adam,Adam,adam_lr1e-3_wd1e-4,1e-3,1e-4,cifar100,CIFAR-100,knn,Raw kNN,0.8542276966666668,0.0018538468414646396,3
Adam,Adam,adam_lr1e-3_wd1e-4,1e-3,1e-4,cifar100,CIFAR-100,knn_l2,kNN-L2,0.8810001,0.003995798565609237,3
AdamW-1e-4,AdamW,adamw_lr5e-3_wd1e-4,5e-3,1e-4,cifar100,CIFAR-100,mahalanobis,Raw Maha,0.44017537,0.014442568055805545,3
AdamW-1e-4,AdamW,adamw_lr5e-3_wd1e-4,5e-3,1e-4,cifar100,CIFAR-100,mahalanobis_l2,Maha-L2,0.8518284466666666,0.0020680466055575802,3
AdamW-1e-4,AdamW,adamw_lr5e-3_wd1e-4,5e-3,1e-4,cifar100,CIFAR-100,knn,Raw kNN,0.5874658066666667,0.026762382062218527,3
